X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_total,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct
130005.099,126,15,12.67,3.221,20.27,12.67,13.61,16.891,3.281,19.43,3.221,20.27
130008.071,85,10,13.104,2.787,17.54,13.104,14.127,16.891,2.764,16.36,2.787,17.54
130010.123,49,6,13.377,2.514,15.82,13.377,14.316,16.891,2.575,15.24,2.514,15.82
130012.204,44,5,13.375,2.516,15.83,13.375,14.453,16.891,2.438,14.43,2.516,15.83
130012.594,132,16,13.411,2.48,15.61,13.411,14.493,16.891,2.398,14.2,2.48,15.61
130013.233,108,13,13.458,2.433,15.31,13.458,14.467,16.891,2.424,14.35,2.433,15.31
130015.874,149,19,13.262,2.629,16.54,13.262,14.278,16.891,2.613,15.47,2.629,16.54
130018.039,135,16,13.406,2.485,15.64,13.406,14.486,16.891,2.405,14.24,2.485,15.64
130021.055,37,4,13.671,2.22,13.97,13.671,14.724,16.891,2.167,12.83,2.22,13.97
130021.69,179,23,1.164,2.726,70.07,1.164,4.049,7.779,3.731,47.96,2.726,70.07
130021.958,41,5,11.104,4.788,30.13,11.104,12.6,18.766,6.166,32.86,4.788,30.13
130023.366,125,15,13.454,2.437,15.34,13.454,14.516,16.891,2.375,14.06,2.437,15.34
130024.637,36,4,13.349,2.542,16,13.349,14.41,16.891,2.481,14.69,2.542,16
130024.89,30,3,12.471,3.42,21.52,12.471,13.538,16.891,3.354,19.85,3.42,21.52
130029.286,74,8,12.654,3.237,20.37,12.654,13.393,16.891,3.498,20.71,3.237,20.37
130030.377,38,4,13.509,2.382,14.99,13.509,14.587,16.891,2.304,13.64,2.382,14.99
130030.486,107,13,13.474,2.417,15.21,13.474,14.425,16.891,2.466,14.6,2.417,15.21
130034.375,68,7,13.391,2.5,15.73,13.391,14.428,16.891,2.463,14.58,2.5,15.73
130037.187,101,12,13.472,2.42,15.23,13.472,14.46,16.891,2.431,14.39,2.42,15.23
130040.594,180,23,12.999,2.892,18.2,12.999,14.116,16.891,2.775,16.43,2.892,18.2
130046.923,82,9,13.496,2.395,15.07,13.496,16.423,18.766,2.343,12.49,2.395,15.07
130048.166,143,18,13.455,2.436,15.33,13.455,14.458,16.891,2.433,14.4,2.436,15.33
130048.558,46,5,13.396,2.495,15.7,13.396,14.471,16.891,2.42,14.33,2.495,15.7
130051.361,35,4,13.392,2.499,15.72,13.392,14.478,16.891,2.413,14.28,2.499,15.72
130052.821,118,14,13.001,2.89,18.18,13.001,15.893,18.766,2.873,15.31,2.89,18.18
130053.962,45,5,13.404,2.487,15.65,13.404,14.443,16.891,2.448,14.49,2.487,15.65
130054.608,80,9,10.854,5.037,31.69,10.854,10.544,16.891,6.347,37.58,5.037,31.69
130055.592,93,11,12.877,3.014,18.97,12.877,13.951,16.891,2.94,17.41,3.014,18.97
130058.076,114,13,12.442,3.449,21.7,12.442,13.497,16.891,3.394,20.09,3.449,21.7
130058.746,42,5,12.788,3.103,19.53,12.788,13.736,16.891,3.155,18.68,3.103,19.53
